,pmi,pcent
no,0.32302143889708984,0.156
never,0.2840257612486704,0.082
any,0.17337295121794052,0.078
not,0.14562609750786737,0.205
nothing,0.11873768966683404,0.031
only,0.11703030697951722,0.066
all,0.1110125290891729,0.084
nobody,0.08388148398070203,0.016
anything,0.07891416675701053,0.023
always,0.07117627846789495,0.031
everyone,0.0707508561178494,0.022
has,0.0576528514272774,0.138
every,0.05762911283663642,0.025
completely,0.052889463920372845,0.01
doesnt,0.04470017891790699,0.022
did,0.04288172748326555,0.035
provided,0.04134134015644133,0.007
dont,0.040005334613699206,0.036
nor,0.03875298629723324,0.014
its,0.03526813883745784,0.102
