,pmi,pcent
some,0.10856638055145933,0.062
author,0.08636683942300444,0.041
least,0.08349396217775129,0.029
something,0.07534943724178679,0.024
someone,0.056672387098910836,0.021
be,0.05649769363091048,0.167
made,0.05542980493933082,0.036
there,0.05077232537342314,0.102
person,0.048373584284215884,0.02
might,0.04639303956971049,0.025
has,0.044967691899961595,0.135
able,0.044451762570833796,0.015
thinks,0.0425596144187959,0.02
argues,0.040567184989000124,0.009
than,0.038899479613737596,0.066
different,0.03875298629723324,0.014
up,0.03824988213399964,0.051
situation,0.03636764417087479,0.012
may,0.03627340678683496,0.031
another,0.034786116085415604,0.017
