,pmi,pcent
only,0.09630868213391446,0.067
nothing,0.07825219689974834,0.024
zero,0.06252035698133393,0.01
refused,0.06136894637629202,0.012
unable,0.05929974228129184,0.01
everyone,0.05762911283663642,0.025
without,0.04879016416943205,0.019
very,0.04804969764170823,0.035
will,0.0454623740767572,0.095
impossible,0.040567184989000124,0.009
easily,0.03809984623227038,0.007
avoided,0.03809984623227038,0.007
little,0.03709412440624079,0.019
everything,0.037041271680349076,0.01
anyone,0.034217957310341246,0.009
failed,0.033901551675681416,0.01
against,0.03306086226088821,0.023
so,0.03278982282299097,0.055
remained,0.03164821095078164,0.007
parties,0.03164821095078164,0.007
