,pmi,pcent
completely,0.18905592063436177,0.009807846277021618
nothing,0.18768383159440313,0.017413931144915934
refused,0.1851035314148946,0.008807045636509208
never,0.17745569880184486,0.02922337870296237
no,0.17308200751167233,0.07485988791032826
everyone,0.16499710479571172,0.02121697357886309
unable,0.1637896403240901,0.007806244995996798
everything,0.16089699836891164,0.011409127301841474
without,0.14752759344550226,0.021817453963170537
any,0.14417012248864153,0.03763010408326661
impossible,0.14366281530326716,0.007405924739791833
only,0.13742656854512697,0.05844675740592474
little,0.135989331812019,0.018815052041633307
ever,0.11303920389346828,0.016813450760608487
zero,0.11267349416317607,0.004403522818254604
anything,0.10513909324124943,0.013410728582866294
every,0.09696203950186094,0.020416333066453164
nobody,0.08985666078092402,0.005604483586869495
clear,0.08701170864869268,0.008807045636509208
fully,0.08486655230230464,0.005404323458767014
