,pmi,pcent
never,0.2796763786464241,0.045015005001667226
any,0.19105523676270922,0.05101700566855619
no,0.17817585941424824,0.07902634211403801
always,0.1596939312720204,0.033677892630876956
anything,0.13475313987484494,0.018672890963654553
only,0.12335408070583888,0.056685561853951315
ever,0.11934675763256623,0.020006668889629875
little,0.11855973472455568,0.020340113371123708
all,0.1171039184825748,0.08936312104034679
completely,0.09666611221546069,0.00766922307435812
unable,0.09083840041293134,0.006335445148382794
everyone,0.09065436826813084,0.016672224074691565
very,0.08947140283049211,0.040680226742247416
care,0.08294908298075093,0.011337112370790263
nothing,0.07586575077471361,0.01533844614871624
far,0.07006756261671684,0.011003667889296432
refused,0.06899287148695142,0.005001667222407469
easy,0.06899287148695142,0.011670556852284094
failed,0.06725222700916747,0.00766922307435812
without,0.06676321615968221,0.020006668889629875
