,pmi,pcent
little,0.0813456394539524,0.028
very,0.06468767469143094,0.049
only,0.05903353158419314,0.057
unable,0.05874950407219055,0.011
every,0.05526267867504952,0.024
without,0.050010420574661416,0.023
stay,0.04695698308777108,0.009
failed,0.04652001563489291,0.01
will,0.042334363826560736,0.093
we,0.04124295853404922,0.065
old,0.03966525639243157,0.02
love,0.03910272601374261,0.013
completely,0.03774032798284711,0.008
president,0.037437527072130806,0.027
far,0.035401927050916,0.015
impossible,0.034217957310341246,0.009
ignored,0.033901551675681416,0.01
york,0.033616610798985064,0.021
refused,0.03195159980660243,0.006
best,0.03174869831458027,0.028
