,pmi,pcent
every,0.10125373370517289,0.035
little,0.08096906253366709,0.02
completely,0.05240027639353177,0.011
and,0.04989983692986969,0.441
stay,0.04969966855227254,0.01
well,0.04916902380646991,0.032
are,0.049149941111611056,0.178
nothing,0.04879016416943205,0.012
everyone,0.048373584284215884,0.02
clear,0.04834778415779384,0.013
refuses,0.04417121831313746,0.008
very,0.04380262265839284,0.04
happy,0.04019088058324528,0.01
same,0.03933091206242354,0.021
day,0.03933091206242354,0.021
refused,0.03846628082779614,0.006
unable,0.03774032798284711,0.008
most,0.03544674899574771,0.034
without,0.03509131981126998,0.016
rarely,0.034868825650824074,0.007
