,pmi,pcent
there,0.10572016320710836,0.1061061061061061
can,0.07395976911528829,0.07307307307307308
least,0.06613980250454499,0.025025025025025027
some,0.06581321856957183,0.057057057057057055
made,0.06390380197948005,0.04004004004004004
someone,0.0576528514272774,0.01901901901901902
author,0.0534107517397087,0.04104104104104104
being,0.0429020215442095,0.02702702702702703
opinion,0.03982149418667151,0.011011011011011011
thinks,0.03875298629723324,0.014014014014014014
both,0.03867885456511134,0.023023023023023025
take,0.0377403279828469,0.01701701701701702
comes,0.03738753207162041,0.009009009009009009
person,0.034786116085415604,0.01701701701701702
points,0.034217957310341246,0.009009009009009009
accepts,0.03195159980660243,0.006006006006006006
something,0.03184060585565884,0.01701701701701702
large,0.030213778596496633,0.012012012012012012
how,0.026929411878631328,0.03803803803803804
about,0.025841231183887328,0.0960960960960961
