,pmi,pcent
some,0.09270939810426754,0.05205205205205205
possible,0.06182438200833885,0.013013013013013013
not,0.057265177305592094,0.1504838171504838
wrote,0.05673531250086754,0.013013013013013013
want,0.049392755329576266,0.022022022022022022
author,0.046212843155131626,0.018351685018351684
exist,0.04525659158812086,0.004337671004337671
might,0.04506149213112021,0.024691358024691357
past,0.04422046847936674,0.010343677010343676
should,0.04352626504989093,0.02669336002669336
didnt,0.04156442442125036,0.010343677010343676
both,0.04054609439435001,0.01701701701701702
performed,0.039821494186671726,0.003670337003670337
according,0.03970744959511273,0.012345679012345678
believes,0.037139546949456786,0.009342676009342675
exists,0.03670136685042796,0.003670337003670337
being,0.03664826715573872,0.025358692025358693
someone,0.036634133179780384,0.013013013013013013
able,0.036557595733797514,0.01001001001001001
isnt,0.035718082602079246,0.011011011011011011
