,pmi,pcent
some,0.08412036601392779,0.057
there,0.07861188756965344,0.094
being,0.07249550203815341,0.043
people,0.05859416426605281,0.064
person,0.047561411198938995,0.022
capable,0.04375698035710031,0.009
important,0.04106148679777392,0.016
someone,0.04070329311350397,0.017
down,0.03774032798284711,0.017
situation,0.03670136685042796,0.011
least,0.035401927050916,0.015
different,0.03269236168554231,0.014
about,0.03109058707003118,0.096
at,0.03093968353482937,0.086
group,0.030213778596496633,0.012
work,0.029064132943911334,0.028
helps,0.02871010588243136,0.006
regards,0.02871010588243136,0.006
available,0.02843793532053341,0.007
who,0.027834798993444057,0.07
