"promptID","premise","splits"
"94969","Yet, in public discussion of youthful suicide, we're often unwilling to trace it to such causes and try to place blame elsewhere--on television, music, movies.","train"
"137472","The story also made the front page of the New York Times and the Financial Times of London, which said that more than 10,000 members of a mystic cult called Fa Lun Gong caused acute embarrassment to security forces by virtually surrounding the compound where China's leaders work.","dev"
"28405","But all that ended long ago.","train"
"32141","Challenged by the Human Rights Campaign's Elizabeth Birch in the letters column of the Dec. 8 Standard , Bennett, remarkably, dug in to defend the Cameron numbers, which he said coincided with the views of other authorities such as psychiatrist . Satinover's 1996 book, Homosexuality and the Politics of Truth , does discuss gay life spans, but cites as its authority ...","train"
"134281","(It may resemble Dungeons &amp","dev"
"36375","Both suppliers and consumers will gravitate toward , regardless of whether it is technically the best.","train"
"87319","But the most sustained assault on Orientalism 's premises, and on its prestige, came from the left.","dev"
"105605","So, to pose the obvious  Is there something inherently Jewish about the nebbish?","train"
"110384","The public-relations masterstroke of the 1980s, a pro-life film called The Silent Scream , featured ultrasound pictures of the dismemberment of a fetus.","train"
"109011","The Barbarians, in short, are at the gate--and conspiring against us.","train"
"116265","They are all quotations from the Old Testament Book of Aunt Ruth.","dev"
"80755","Newsweek 's list, which is not the cover story, offers bite-sized profiles of young and middle-aged comers, from dancer Savion Glover to former Justice Department honcho Jamie Gorelick to AOL chief Steve Case to the editor of Slate.","train"
"39675","About 1.2 million homes tune in the NewsHour each night, while a combined total of 20.","train"
"56839","Just this promise for the future.","train"
"93961","This is one of the subtlest issues in the book.","train"
"133770","In its journal, Education Liberator , the Separation of School and State Alliance calls voucher supporters both fascists and socialists.","train"
"116054","I'm sure that Sam Sianis, the proprietor of Royko's beloved Billy Goat Tavern, didn't say many of the things Royko attributed to him.","train"
"13744","And Rams coach Dick Vermeil is acting like he knew what he was doing all along, even if he didn't protect Warner in last season's expansion draft.","train"
"34738","In this particular case, let's just say when the original advice was given the wheel was spinning, but the hamster had gone.","train"
"24830","In one of the strips, one of the characters is jumping rope and says, Suddenly it struck me that it all seemed futile.","train"
"31710","By time-shifting this feel-good scene forward, Man on the Moon relieves the true story of Kaufman's depressing decline.","train"
"141615","Because I haven't been able to establish who they are.","train"
"88438","A History of the American People , by Paul Johnson (HarperCollins).","train"
"145616","We are always swept up in some idealized notion of what China is or should be, says Brookings Institution scholar Bates Gill.","train"
"104653","An influential townsman takes a lover there.","train"
"88584","A student referendum on notification at the University of Illinois produced the highest turnout for a student election in 10  More than 80 percent of students voted against it.","train"
"11609","Critics revel in his caustic humor and vengeful gossip about new-media moguls (he describes one AOL exec as a fat man, an ugly man, sweating like crazy).","train"
"77875","As legal scholar Randall Kennedy wrote in his book Race, Crime, and the Law , Even if race is only one of several factors behind a decision, tolerating it at all means tolerating it as potentially the decisive factor.","dev"
"99772","Critics mostly dismiss Serpico director Sidney Lumet's 41 st film as hackwork.","train"
"71705","Duke came to the suburbs of Washington, D.C., last weekend to raise money for the race.","dev"
"119917","Birds both move quickly and maintain close distance to each  Humans do one or the other.","train"
"73314","Clinton got a fruit basket that contained an orange that was, in Zercher's words, shrivelled and deformed--it looked like a woman's sexual organ.","train"
"73319","This is so great because I haven't been getting any of this lately.","dev"
"100428","As David Bowie said on the 1977 Bing Crosby Christmas Show when the host asked him if he liked any of the older  Oh, sure, I love Harry Nilsson.","train"
"21964","notion of divine sanction for democratic values.","train"
"132872","A case can be made that Velvet Goldmine isn't fully filled in, and that Haynes, who has never shaken off his background as a semiotics major, has made a movie that's all signifiers.","train"
"145630","Almost nothing is going to happen if a majority must already favor it before any political leader will speak out in its favor.","train"
"29527","Alexander  1898-1976 (National Gallery of Art, Washington, D.C.).","train"
"57940","Since most movies are bad (both in the subjective aesthetic sense and in the cruder sense of being unpopular), discounting the bad ones would bleed revenue while probably not persuading many moviegoers to make the tradeoff between quality and cost.","train"
"63321","Will that be good?","train"
"64652","The government's lawyers suspect that the real source of Lamberth's ire is not the sloppy sentence in an affidavit but the government attorneys' hardball tactics and unwillingness to compromise, which drew the case out for four years .","train"
"54426","Can you believe this?","train"
"120689","Wes Widmaier ","train"
"138507","They make death at places like China Lake and Point Magu, we sell death at places like Sony.","train"
"106439","Gangsta rap is blamed for feeding the kids' rage.","train"
"74933","On the subject of Italian-Americans and their gripes about The Sopranos , et al.","train"
"105622","They may understand the politics of school choice or welfare reform, but tend to be far shakier on the substance.","train"
"95463","They were writers, and therefore in a position to arrange their own schedules, correct?","train"
"127386","The paper reimbursed her.","train"
"64806","He is warm and impulsive where his father was distant and calculating.","train"
"40585","Rock goes beyond Eddie [Murphy], beyond liberal guilt.","train"
"19168","FashionSense 2.0","train"
"57941","As Chatterbox pointed out in his earlier item, movie tickets are fundamentally inexpensive , so you aren't going to lure many more people into seeing, say, Eyes Wide Shut by slashing the already low price of first-run admission.","train"
"66715","We see a worker clocking in while the narrator points to 10 million new jobs and, as the spot cuts to a Kennedyesque Clinton with children, it concludes with the phrase a better future.","train"
"108954","But to a man with a hammer everything looks like a nail.","train"
"123666","This suppression is an outrage, but our policy must be more sophisticated than mere indignation.","dev"
"66063","Unfortunately for the GOP, the sophistication and delicacy of the ads is already being overwhelmed by the Democrats' simplification of them.","train"
