"promptID","premise","splits"
"39445","Several of the same issues that you address in Fuzzy Logic existed in the music industry in the early '90's.","train"
"113570","Time reports that Harrer denies having known she was.)","dev"
"39212","If anything, ultimate fighting is safer and less cruel than America's blood sport.","dev"
"2863","If all (or most) holdings were for only a year, one could see why stocks--which can fluctuate scarily in a year--might command a large risk premium.","train"
"126769","The smallest of the major tobacco companies, the Liggett Group, agreed to a settlement with attorneys general from 22 states who had sued to recoup money spent on health care for smokers.","train"
"71468","Perhaps so, but in that case somebody should tell this to Joel Klein, the assistant attorney general in charge of the antitrust division.","train"
"89005","( outlines how the Reform Party selects its presidential nominee.)","train"
"28231","But in the long run, it's unavoidable.","dev"
"131948","For : Insomnia and jet lag.","train"
"106918","A greatnoise is said to alwaysattend less the humming of wings thanthe grinding you'd expect","train"
"61332","Richard Holbrooke was confirmed as ambassador to the United Nations.","train"
"136591","There are also dozens of fabulous pictures.","dev"
"1255","Their issuing of short-term buy or short-term hold recommendations obviously intensifies pressure on companies to meet and beat earnings expectations at all costs.","train"
"112547","Credibility is a vital factor, and Jim Lehrer does, indeed, have it.","dev"
"937","Her delivery isn't moist--it's prickly and blunt, and she can jabber convincingly, so that the jabbering takes on a life of its own and leaves her (sometimes horrified) in the dust.","train"
"2948","If victorious, NATO may grant Kosovo independence or perhaps divide it up.","train"
"87523","U.S. diplomats will try to soothe tension between Taiwan and China.","train"
"113508","She had worked for a refugee-relief project in the most lawless region of South Asia before finding her way into an even more dangerous part of the world--one of great importance for U.S. foreign policy.","train"
"100183","George Pataki, relented in exchange for a compromise plan that will gradually raise rents by regulating the existing regulations.","train"
"43989","I drifted [ The freezing shock.","train"
"91434","Having conditioned its audience to view IQ as all-important, The Bell Curve then manipulates statistics in a way that makes IQ look bigger, and everything else smaller, in determining Americans' life-chances.","train"
"144222","Web entrepreneurs left Europe in the dust.","train"
"27306","This spot is more likely to raise the hackles of the pressure groups than some of the others.","train"
"106068","Time , which runs an inside feature, thinks the show has slacked off lately and is running out of ideas.","train"
"132832","Still, writes Stewart, you have to plan well.","train"
"10601","Helms, who just two years ago threatened to end all U.N. funding, was charmed when Annan called on him last year.","train"
"128165","Colleagues had called Notra Trulock's allegations against Wen Ho Lee racist and had said there was not a shred of evidence against Lee . Trulock countered that only three of the 12 initial suspects in the case were of Chinese background and called a recent report exonerating the Clinton administration a whitewash.","train"
"60361","That said, a publication can make scamming its readers more difficult than the New Republic made it for Glass.","train"
