ID,Intro,Round1,Round2,Round3,Round4,Round5
301,1,,,,,
302,1,,,,,
303,1,,,,,
304,1,,,,,
305,1,,,,,
306,1,,,,,
307,1,,,,,
308,1,,,,,
309,1,,,,,
310,1,,,,,
311,1,,,,,
312,1,,,,,
313,1,,,,,
314,1,,,,,
315,1,,,,,
316,1,,,,,
317,1,,,,,
318,1,,,,,
319,1,,,,,
320,1,,,,,
321,1,,,,,
322,1,,,,,
323,1,,,,,
324,1,,,,,
325,1,,,,,
326,1,,,,,
327,1,,,,,
328,1,,,,,
329,1,,,,,
330,1,,,,,
331,1,,,,,
332,1,,,,,
333,0,,,,,
334,0,,,,,
335,0,,,,,
336,0,,,,,
337,0,,,,,
338,0,,,,,
339,0,,,,,
340,0,,,,,
341,0,,,,,
342,0,,,,,
343,0,,,,,
