,pmi,pcent
completely,0.07522342123758753,0.015
without,0.05242579733984974,0.024
very,0.0515718071313089,0.026
immediately,0.04525659158812086,0.013
took,0.043675063502661635,0.017
had,0.04362062247589035,0.064
little,0.043249983793816525,0.026
lacks,0.04134134015644133,0.007
from,0.041242958534049,0.098
useless,0.03846628082779614,0.006
zero,0.03809984623227038,0.007
over,0.03544674899574771,0.034
felt,0.034868825650824074,0.007
country,0.034786116085415604,0.017
just,0.03440142671733232,0.038
lack,0.034217957310341246,0.009
down,0.033616610798985064,0.021
impossible,0.03164821095078164,0.007
treated,0.03135052988407601,0.008
unable,0.02871010588243136,0.006
