,pmi,pcent
there,0.125311302077175,0.10005002501250625
some,0.11195890737039468,0.057028514257128564
being,0.0945261734921163,0.03501750875437719
least,0.08961215868968714,0.02001000500250125
someone,0.08701137698962969,0.018009004502251125
person,0.07208088217552797,0.01950975487743872
can,0.0632948503723138,0.0750375187593797
capable,0.060259191518196746,0.007003501750875438
author,0.058359615185582615,0.02351175587793897
something,0.04983237374787554,0.022011005502751375
both,0.04879016416943204,0.02001000500250125
made,0.04632407167423862,0.031015507753876938
different,0.0429020215442095,0.013506753376688344
comes,0.041797128678461457,0.007003501750875438
important,0.040614719154190126,0.017008504252126064
about,0.038399132934535965,0.096048024012006
believes,0.03709412440624079,0.009504752376188095
question,0.036557595733797514,0.015007503751875938
take,0.036273406786834744,0.015507753876938469
situation,0.035401927050916,0.007503751875937969
