"promptID","premise","splits"
"130434","It is not that I expect anything practical.","train"
"22743","It's very simple, really--$5 million isn't worth five times as much as $1 million.","train"
"87063","Not only do thousands of economists agree on something, but what they agree on is the warm and cuddly idea that we should do more to protect the environment.","train"
"112810","But, The Christians are at it again?","train"
"82093","Dr. Richards, can you write a prescription for the tabloids?","train"
"72883","She is hauled away, presumably to be killed.","train"
"21055","Strom Thurmond , R-S.C., celebrated his 95 th birthday by announcing that he will relinquish the chairmanship of the Senate Armed Services Committee a year from now.","dev"
"115952","The few stinky letters were from clergymen.","train"
"131299","Reviews of the latest one suggest the answer is yes.","train"
"34526","In the warren of grungy rooms beneath the dance floor--the celebrities' sanctum sanctorum--the coke was consumed by the linear foot, and (according to the author) the odd European contessa could be found handcuffed to a water pipe, getting squired from the rear by one of the pretty shirtless busboys.","train"
"105307","This is a cheerful thought, but it also means that invoking covert productivity increases doesn't help explain why even measured inflation remains quiescent.","train"
"1073","News ' cover says the proliferation of small computer devices and the ascendance of Web-based applications are eroding Microsoft's dominance.","dev"
"64849","One piece says the veep is likely to take credit for wiring school and libraries to the Internet--even though this wiring is subsidized by a universal service charge on everyone's phone bill.","train"
"88929","The classic Frank Capra film, It's a Wonderful Life , tells us that the lives of ordinary people benefit those of countless others in ways of which they are hardly aware.","dev"
"123030","The most controversial part of Finkelstein's book, though, is the last chapter, in which he sets out to explain why the Goldhagen book was such a big deal.","train"
"132511","When reality interfered (Brenda apparently did not go through with a marriage to an immigrant in search of a green card for $10,000, as she does on-screen), Barker brushed the truth aside as immaterial, following her up the steps of City Hall in her wedding dress because it was true to her character.","train"
"133094","So we all have benefited indirectly.","train"
"130311","While this may have been true for a good many (Beatles, Dylan), the requirements of publishing every two weeks meant others, like the Moodies, Vanilla Fudge, Jefferson Airplane (Son of Jesus, anyone?)","train"
"2394","Citing conservative critics of Brown vs.","dev"
"99061","Your letter was so charming that Prudie almost forgot it was about a problem.","train"
"140254","But it was only Eisner's recognition that a brand has to be updated and nurtured if it's to flourish that made those decisions so obvious.","train"
"70449","There are people who are not members of the Libertarian Party but who are open-minded about it and willing to listen, even though you may not be able to convert them.","train"
"121326","In a celebrated case, Abraham Lincoln biographer Stephen Oates was said to have ripped off a widely read 1952 Lincoln biography by Benjamin Thomas.","train"
"142873","Boone claims that the album's purpose is to attract metal enthusiasts to Jesus, and that his get-up was a spoof of his old choirboy image.","train"
"42693","Physicians will unionize against managed care.","train"
"73600","An essay on the Atlanta shooter argues that he epitomizes the malaise of modern men disassociated from the bonds of fraternity and patriarchy that shaped their fathers' lives.","train"
"4985","In the 1980s, Kodak opened a major research center in Tokyo, staffed with Japanese engineers, and started a joint venture in which Canon made copiers sold under the Kodak name.","train"
"25841","My wife and daughter are the ones doing Riley.","dev"
"100858","Talk-show host Kathie Lee Gifford found out that a lump in her breast was benign.","train"
"94101","A second answer is that the Fed can express concern , as Greenspan did.","train"
"117657","The NYT runs an op-ed by writer Janna Malamud Smith that states If we're going to make simplistic rules about truth-telling, mine would start  Ms.","train"
"38275","What it does mean, though, is that commoditization does its work not by becoming a reality (which would entail ever-shrinking margins and stagnant stock prices) but by remaining a perpetually present threat.","train"
"80265","Steve Forbes intends to advertise on day trading and investment sites, where people who might vote for him are likely to be found.","train"
"65796","George Mitchell has volunteered to act as a liaison between the Pentagon and Mohammed Al Fayed in the dispute over British and American intelligence about the crash .","train"
"113132","It's bread and circuses without the bread.","train"
