"promptID","premise","splits"
"33761","They inhabit the near-boiling water of geysers in Yellowstone, and the even hotter water in volcanic vents on the ocean floor.","train"
"83457","If this spot is any indication, so will the treaty.","dev"
"28781","The fact that voters can and do reject incumbents will strike them as an epiphany.","train"
"79022","And you have made other people happy, as well.","train"
"137676","But still, in one degree or another the feeling described by Auden, of not wanting to be forgotten, must be nearly universal.","train"
"99551","Then you are told to allow between three and seven days for delivery after your book leaves Amazon's warehouse.","train"
"63645","At war's end, he arranged to contribute some of his panels as a sort of victory monument to the nation--the gift that eventually became the glorious circular water lily chapel at the Orangerie in Paris.","train"
"118635","But there is a little more noble cause in this for me.","train"
"27153","A charmless, surprisingly chintzy affair (Greg Evans, Variety ), the play features a script eviscerated of interesting characters.","train"
"17288","And even with clean practices and technologies like steaming of meat (which hasn't been tested nearly as much), some food would still be contaminated.","train"
"129220","..  It must be said that this kind of approach is very tricky.","train"
"10157","He didn't systematically vet things with her or even regularly delegate to her.","train"
"116310","8) Labor Secretary-nominee Alexis Herman, who was closer to the fund-raising mess, will now be confirmed easily because the Senate is satisfied with having killed Lake.","train"
"40142"," We have an obligation to sit back as jurors and let the case be presented (Santorum).","train"
"43315","If you missed the links within this review, click for the of how critics dismissed a whole genre of social novels written by women ...","train"
"104206","I am generally a fan of Michael Kinsley's, but I must take issue with his recent article, Social  From Ponzi Scheme to Shell Game.","train"
"24654","The United States responded by deploying U.S. naval forces in the region.","train"
"33066","While information is comparatively fresh and large numbers of the survivors are still around, why not institute similar reparations to be paid by Russia to victims of the Gulag?","train"
"125298","While continuing to endorse the ideal of integration, they say affirmative action, busing, and the rest do more harm than good.","train"
"79015","(Though here I'm tempted to respond that it's a mistake to generalize about human behavior on the basis of a few extraordinary individuals who probably--and quite atypically--love their work.)","train"
"106340","Most praise her for being able to hold her own, as opposed to noticing any genuine musical ability, and note that the album is far more pop-oriented than the drum 'n' bass and jungle she spins live.","train"
"140029","And no one will be nicer.","train"
"4082","Helms, who will be 81 when his fifth term ends, is increasingly frail.","dev"
