promptID,premise,splits
84877,The cover story on Trent Lott doubts that he can control the Republican Senate.,train
106523,"Similarly, China Telecom has said that it will explore opportunities for strategic investments in [China's] telecommunications industry.",train
100682,Consumers can quite reasonably argue that history can't be changed and so is best forgotten.,train
134662,"If that is the administration's strategy, it is foolhardy.",train
9729,"But the Sports Network posts Vegas odds, from the Stardust and Mirage casinos, no less.",train
132554,The winner's curse also doesn't apply when there are many identical items being auctioned off.,train
116713,"Two economists at Virginia Commonwealth University--yes, here are the economists again, but this time making a more plausible argument--studied millions of auto-accident claims filed between 1989 and 1993.",dev
139729,"First reported last fall, the epidemic has devastated the entire collection.",train
45298,Eve's Apple turns out to be a sturdier book than it seems.,dev
21633,"2) An elderly Milwaukee couple are soliciting women to conceive and bear their grandchild, using frozen sperm from their dead son.",train
5186,"A group of gay intellectuals has launched the Independent Gay Forum , which declares itself independent of left-right politics.",train
125057,A boxer cannot fight with a heart condition or dementia.,train
67919,and that's when you get hit by the meteorite.,train
100267,"Dissenting in the New York Times Book Review , Pico Iyer finds Cuba Libre  The central moral question raised ...",train
138601,They say things like This is the coolest generation ever.,train
