"promptID","premise","splits","heuristic_value","heuristic_friendlyname","heuristic_example_text","heuristic_payment_text","heuristic_checkbox_text","entailment_payment","neutral_payment","contradiction_payment","FAQ_direct_link"
"106620","However, it came bundled with the obscure psych book (which still hadn't arrived from the conventional stores as of New Year's Day).","train","not_obvious","write something that is not obvious","A not obvious statement would be one that you would have to think on before determining its relationship to the text. Maybe this means a reader would have to go back and read the sentence a second time to understand it. Often, this can be accomplished by using a more complex sentence structure, focusing on something that can be inferred from the text but isn’t explicitly stated, or by focusing on some crucial relationship between two ideas/people/timepoints in the text.","Each statement you provide that conforms to this restriction will add on a $0.07 bonus. Just mark the checkbox next to the sentence(s) where you have done this.","relies on a something not obvious from the text","$0.07 ","$0.07 ","$0.07 ","https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.ux8zss48u2uk"
"81469","Should we invite these young wealthies back to our comparatively humble, small home?","dev","not_obvious","write something that is not obvious","A not obvious statement would be one that you would have to think on before determining its relationship to the text. Maybe this means a reader would have to go back and read the sentence a second time to understand it. Often, this can be accomplished by using a more complex sentence structure, focusing on something that can be inferred from the text but isn’t explicitly stated, or by focusing on some crucial relationship between two ideas/people/timepoints in the text.","Each statement you provide that conforms to this restriction will add on a $0.07 bonus. Just mark the checkbox next to the sentence(s) where you have done this.","relies on a something not obvious from the text","$0.07 ","$0.07 ","$0.07 ","https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.ux8zss48u2uk"
"59621","Her protagonist (Natasha Lyonne) spends her teen-age years being shuttled with her two brothers from one cheap dive to another in the 90210 ZIP code, all because her egregiously unsuccessful father (Alan Arkin) wants them to be educated in the best schools.","train","not_obvious","write something that is not obvious","A not obvious statement would be one that you would have to think on before determining its relationship to the text. Maybe this means a reader would have to go back and read the sentence a second time to understand it. Often, this can be accomplished by using a more complex sentence structure, focusing on something that can be inferred from the text but isn’t explicitly stated, or by focusing on some crucial relationship between two ideas/people/timepoints in the text.","Each statement you provide that conforms to this restriction will add on a $0.07 bonus. Just mark the checkbox next to the sentence(s) where you have done this.","relies on a something not obvious from the text","$0.07 ","$0.07 ","$0.07 ","https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.ux8zss48u2uk"
"73270","The next day's Los Angeles Times goes with the DLC  Clinton's Centrist  Big Draw Among Party Faithful.","train","not_obvious","write something that is not obvious","A not obvious statement would be one that you would have to think on before determining its relationship to the text. Maybe this means a reader would have to go back and read the sentence a second time to understand it. Often, this can be accomplished by using a more complex sentence structure, focusing on something that can be inferred from the text but isn’t explicitly stated, or by focusing on some crucial relationship between two ideas/people/timepoints in the text.","Each statement you provide that conforms to this restriction will add on a $0.07 bonus. Just mark the checkbox next to the sentence(s) where you have done this.","relies on a something not obvious from the text","$0.07 ","$0.07 ","$0.07 ","https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.ux8zss48u2uk"
"80639","In 1982, Ronald Reagan invoked this right to keep EPA documents about toxic-waste disposal from Congress.","train","not_obvious","write something that is not obvious","A not obvious statement would be one that you would have to think on before determining its relationship to the text. Maybe this means a reader would have to go back and read the sentence a second time to understand it. Often, this can be accomplished by using a more complex sentence structure, focusing on something that can be inferred from the text but isn’t explicitly stated, or by focusing on some crucial relationship between two ideas/people/timepoints in the text.","Each statement you provide that conforms to this restriction will add on a $0.07 bonus. Just mark the checkbox next to the sentence(s) where you have done this.","relies on a something not obvious from the text","$0.07 ","$0.07 ","$0.07 ","https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.ux8zss48u2uk"
"81175","For the first time, the standard of living for the nation's poor (although not the very poor) is rising.","train","not_obvious","write something that is not obvious","A not obvious statement would be one that you would have to think on before determining its relationship to the text. Maybe this means a reader would have to go back and read the sentence a second time to understand it. Often, this can be accomplished by using a more complex sentence structure, focusing on something that can be inferred from the text but isn’t explicitly stated, or by focusing on some crucial relationship between two ideas/people/timepoints in the text.","Each statement you provide that conforms to this restriction will add on a $0.07 bonus. Just mark the checkbox next to the sentence(s) where you have done this.","relies on a something not obvious from the text","$0.07 ","$0.07 ","$0.07 ","https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.ux8zss48u2uk"
"97346","So, why am I sorry for Robert Reich?","dev","not_obvious","write something that is not obvious","A not obvious statement would be one that you would have to think on before determining its relationship to the text. Maybe this means a reader would have to go back and read the sentence a second time to understand it. Often, this can be accomplished by using a more complex sentence structure, focusing on something that can be inferred from the text but isn’t explicitly stated, or by focusing on some crucial relationship between two ideas/people/timepoints in the text.","Each statement you provide that conforms to this restriction will add on a $0.07 bonus. Just mark the checkbox next to the sentence(s) where you have done this.","relies on a something not obvious from the text","$0.07 ","$0.07 ","$0.07 ","https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.ux8zss48u2uk"
"70901","I mastered the words portiere  (goalkeeper), colpo di testa  (header), and quattro minuti di ricupero  (four minutes of injury time).","train","not_obvious","write something that is not obvious","A not obvious statement would be one that you would have to think on before determining its relationship to the text. Maybe this means a reader would have to go back and read the sentence a second time to understand it. Often, this can be accomplished by using a more complex sentence structure, focusing on something that can be inferred from the text but isn’t explicitly stated, or by focusing on some crucial relationship between two ideas/people/timepoints in the text.","Each statement you provide that conforms to this restriction will add on a $0.07 bonus. Just mark the checkbox next to the sentence(s) where you have done this.","relies on a something not obvious from the text","$0.07 ","$0.07 ","$0.07 ","https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.ux8zss48u2uk"
"14763","These services are available to subscribers only.","dev","not_obvious","write something that is not obvious","A not obvious statement would be one that you would have to think on before determining its relationship to the text. Maybe this means a reader would have to go back and read the sentence a second time to understand it. Often, this can be accomplished by using a more complex sentence structure, focusing on something that can be inferred from the text but isn’t explicitly stated, or by focusing on some crucial relationship between two ideas/people/timepoints in the text.","Each statement you provide that conforms to this restriction will add on a $0.07 bonus. Just mark the checkbox next to the sentence(s) where you have done this.","relies on a something not obvious from the text","$0.07 ","$0.07 ","$0.07 ","https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.ux8zss48u2uk"
"45216","Once you exclude fringe elements on both sides--Ralph Nader and Pat Buchanan, basically--both Democrats and Republicans accept the reality of NAFTA and the WTO even as they argue about whether these bodies should include environmental and labor laws, a la the EU.","train","not_obvious","write something that is not obvious","A not obvious statement would be one that you would have to think on before determining its relationship to the text. Maybe this means a reader would have to go back and read the sentence a second time to understand it. Often, this can be accomplished by using a more complex sentence structure, focusing on something that can be inferred from the text but isn’t explicitly stated, or by focusing on some crucial relationship between two ideas/people/timepoints in the text.","Each statement you provide that conforms to this restriction will add on a $0.07 bonus. Just mark the checkbox next to the sentence(s) where you have done this.","relies on a something not obvious from the text","$0.07 ","$0.07 ","$0.07 ","https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.ux8zss48u2uk"
