"promptID","premise","splits"
"28958","Diabetes, cardiovascular problems, and penile injuries (more than 100,000 whacked in bike accidents have been permanently deflated, according to the medical literature) all prevent men from mustering a swelling.","train"
"141797","If increasing democratization is the test for access to the international-trading system, China has flunked.","train"
"83052","During the farewell tour of his legislative district, Paxon indicated the depth of his enthusiasm in raising Suby when he let Molinari change the diaper as their plane touched down in Buffalo, N.Y.","train"
"857","In the black  black-black offspring.","train"
"101286","There are two challengers to these top dogs.","dev"
"44435","The former does seem to explain the latter.","train"
"18278","(Countering a question about tackiness, Dexter says, You should see what we turned down--'I Have a Dream' ice cream, Martin Luther King pocketknives.","train"
"116508","Politics has become entertainment, a political consultant shrugged to the Associated Press.","dev"
"71634","1 bank in loans, deposits, business lending (large and small), and ATMs (15,000);","train"
"4035","Escaped or abandoned raccoons have been breeding in the wild for the past 20 years and have damaged corn crops, watermelon and melon farms, and rainbow trout hatcheries, the paper said.","dev"
"4705","Critics applaud rookie Belgian director Alan Berliner's film, about a 7-year-old boy who yearns to be a girl, for giving an inside report ...","train"
"122020","After four years, Clinton has learned how to avoid looking unpresidential.","dev"
"94781","Yet there is no good reason not to go with the 0.08 standard.","train"
"81626","Oh, and let's cut out all this huffing and puffing about Saddam Hussein.","train"
"1325","The final reason for the teen renaissance is boomer self-obsession.","dev"
"113852","Washington wants the pope to condemn Slobo, and the White House might offer humanitarian aid to Serb cities that oppose him.","train"
"79021","Prudie must confess that your advice is a tad more constructive than her own.","train"
"146046","4. Mr. Bork says that when Microsoft also tried to hire him, he gave the company's lawyer a hearing, with the understanding that if he convinced me, I would simply stay out of the case.","train"
"92546","Nash pioneered game theory, became schizophrenic, recovered, then won a Nobel Prize late in life.","train"
"3510","The man's legacy to his family has almost nothing to do with anything that can be appraised in dollars and cents.","dev"
"84897","7 million in the Los Angeles Times and over $3 million by the other major papers.","train"
"51290","Bill Clinton is a master of buttering up journalists by quoting their books and articles back to them.","train"
"697","5 percent of the GDP in calendar year 1994.","train"
"67676","Do it too soon and you seem glib and  You're sorry?","train"
"125225","Five years ago, Speaker-elect Newt Gingrich promised to make important information available online at the same moment that it is available to the highest-paid Washington lobbyist.","dev"
"101620","Well, if we extend the co-op's story a little bit, it is not hard to generate something that looks a lot like Japan's problems--and to see the outline of a solution.","train"
"109800","4) Court records indicate that a jewelry-fraud ring used illegal third-party campaign donations to get President Clinton to pose in photos with its principals.","train"
"137298","In particular, an increase in the savings rate will translate into higher investment after all, because the Fed will make sure that it does.","train"
"47868","AT&amp;T and MCI have protested the tax and pledged to pass the cost on to  MCI charges 5 percent on all out of state long-distance calls, and AT&amp;T charges a flat rate.","dev"
