"promptID","premise","splits"
"104572","No way he'd be with her if this wasn't an instructional sex video!","train"
"145981","We know that Sullivan believes in him (her?","train"
"52021","The New York Times offered moral indignation","train"
"44434","So the Bill Clinton paradox--his reckless pursuit of sex and his timid clinging to office--is indeed no paradox.","train"
"104356","Critics also welcome his ambivalence on Russia's  Unlike most Russia watchers, Mr.","train"
"119377","Equality feminists draw a different  The World Cup showed that women can body-slam, curse, and cheat just like men.","dev"
"91556","Rediscovering Arendt's public-private split wouldn't necessarily entail abandoning the feminist notion that the personal is political.","train"
"124404","The Weekly 's articles are now stored in its Whitewater Scandal Page, but you must subscribe to view them.","dev"
"23118","Whatever the fortunes of religion itself, a dwindling cultural acquaintance with the Bible's English is surely inevitable.","train"
"145565","The buck still stops with them.","train"
"136450","But there are arguments to the contrary.","train"
"58145","On other occasions, the company has seemed more like a postgraduate workshop for the promising and ill-prepared (Bernard Holland, the New York Times ). (Click here for a schedule.)","train"
"100969","A firestorm of feminist controversy already surrounds some of these works--one side contends that these are refreshingly de-idealized nudes, the other side responds that the unusual poses and aggressive use of pastel are further degradations of women--but you wouldn't know it from the placid audio tour, or from the printed exhibition guide that replaces the usual wall panels.","train"
"139391","Irish poets, learn your trade/ Sing whatever is well made, he grumpily advised in 1938 in Under Ben Bulben, one of his very last poems.","dev"
"90691","Gloria Steinem announced that in the new incarnation of Ms. , fat is no longer a feminist issue.","train"
"130852","Mixed reviews for the Broadway debut of Horton Foote's Pulitzer Prize-winning play.","train"
"74598","Last year he tried and failed to invoke the War Powers Resolution for the Bosnia mission.","train"
"99375","Prudie guesses it's the Hepburn aura you're going for, since, unlike you, there was no Marilyn Monroe body underneath all those tailored clothes.","train"
"83143","Dll stands for dynamic-link library, and .dll files are small chunks of computer code that are intended to be shared by more than one application.","train"
"127874","Levi relies on its famous brand name--competitors rely on their stylish cuts.","train"
"65372","KAETHE (Offering the briefcase): NOW can you ordain me?","train"
"82929","Remember when he looked us in the eye?","train"
"145721","But such a show would have meant the museum taking a hard look at its own, often controversial part in the art world.","train"
"50050","The 17-year-old Jess Gupta (male student), for example, is listed as a housewife in another filing.","train"
"31481","Success in Ireland just proves that the World's Only Superpower must intervene more frequently, say Kristol, Steve Roberts, and George Will ( This Week ). A few pundits stress potential pitfalls along the road to peace.","train"
"52478","People are judged and, in turn, judge others by how they look.","train"
"35252","High praise for The New Yorker writer's stories about disaffected youth.","train"
"89558","Why was a senator from Kansas so interested in bananas?","train"
"9720","From this perspective, Clinton has yet to get with the program.","train"
"123154","When asked whether the United States should oppose loans to Russia because of the war, Berger replies, It's a premature question   because the predicate question is whether they get the economic reforms in order, at which point we'll have to look at what's in our national interest.","train"
"55460","Time 's mistake, we think, was its stinting view of history.","train"
"17133","Why not escape the noise and the pressure of being a Superadult for the rewards of the workplace, where supervisors are trained to understand you?","dev"
"91640","It would be very interesting to perform the same experiment with, say, medical journals instead of economics journals.","train"
"89276","During his father's primary campaign, George W. Bush watched Pat Buchanan go from 1992 to 1938, the heyday of Father Coughlin, dragging the Republican Party with him.","train"
"77711","The fights are riotous slapstick set  In the art museum finale, Chan fends off hordes of assassins while catching giant, priceless Ming vases as they tumble from their pedestals.","train"
"6806","The tricky question is what are the core values that really define you and what are the fringe issues on which differences are not crucial.","train"
"2262","She buried his remains to spare her mother the gruesome sight.","dev"
"32134","After-school prayer clubs skirt church-state separation laws and are popping up in as many as 1 out of every 4 public schools in the country.","train"
"54515","Newsweek also runs an essay from Clinton-loyalist-cum-moralist George Stephanopoulos, who urges the prez to come clean.","train"
"17586","Of course the little things matter.","train"
"97976","A teaser horse is the warm-up act, an important but ultimately expendable creature.","train"
"65165","He Moves in Mysterious  Proving himself as adept with a parable as with a football, Rep.","train"
"128465","What Medicare is now suffering is not a calamity.","train"
"991","The example of loyalty and  When he had just taken over as the chairman of President Nixon's Council of Economic Advisers, he hired a young staff economist named Ron Hoffman (brother of Dustin Hoffman).","train"
"78102","But it was the grass-roots opposition to KYC, sparked in part by the Libertarian Party, whose protest Web site steered 171,268 e-mail complaints from netizens to the FDIC, that elevated the subject to the national agenda.","train"
"74140","Surely farmers are willing to pay much more for fertile seeds than for infertile, and you can be sure that Monsanto fully exploits that willingness.)","dev"
"105554","A renaissance of sociological research in the United Kingdom, as well as the fact that Prime Minister Tony Blair's intellectual guru is sociologist and London School of Economics Dean Anthony Giddens.","train"
"20438","But when he became impotent, it took his identity away.","train"
"136055","8. She's a dirty little secret.","train"
"139376","The funny thing about the Sumitomo affair is that if you ignore the exotic trimmings--the Japanese names, the Chinese connection--it's a story right out of the robber-baron era, the days of Jay Gould and Jim Fisk.","train"
"119297","PointCast has succeeded so far with a mass-market approach--relatively few news sources, sorted into relatively few buckets.","train"
"108988","The cover story profiles a day trader who learns his financial fundamentals from the Web and trusts his feel for stocks.","train"
"49147","He can tell her of something bad that has happened without fearing that she will think he is complaining.","train"
"52077","Or maybe what's new about the rules is the claim that now, for the first time, they apply to a large part of the economy.","train"
"72093","Having seen pan-Arabism bankrupted in 1967, more and more Arabs are seeking solutions from the past--in Islamic fundamentalism, which seeks to remodel Muslim societies along the lines of Arabia under the Prophet Mohammed.","train"
"75263","New York Times columnist Bob Herbert asserts that managed care has bought Republican votes and that patients will die as a result.","dev"
"24096","The flames are nearly a foot high, they arc out from underneath the black leather hood; there is smoke, the huge buzzing sound of the electricity, there are white walls and Venetian blinds and linoleum underfoot.","train"
"120592","I'll take responsibility for my oversight.","dev"
"119312","It is a great-looking book despite its shortcomings, and there is a lot of good information in it.","train"
"50885","Simmons, probably rap's greatest entrepreneur, lives in New York; schmoozes bankers, fashion designers, and record executives; and cuts deals with conglomerates such as Time Warner.","dev"
"126265","He then blames military leaders for overestimating the effectiveness of bombing.","train"
"581","So while the colors may fade less, your detergent is also cleaning less.","train"
"59424","Among the black agents courting rookies are Puffy Combs, Master P, and Johnnie Cochran.","train"
"34084","Klayman, who presents a coherent faaade while making wild and unsubstantiated charges, is perfect.","train"
"71972","Kaaterskill Falls ,by Allegra Goodman (Dial Press).","train"
"118199","Upstairs are a couple of rooms of Socialist Realism, with ubiquitous Maos--first, youthfully slender in front of a traditionally rendered mountain, then putting on weight just like those Buddhas.","train"
"122749","But the links may also be genetic or, at the very least, the result of ancient ancestral contact.","train"
"3028","This Johnny was just a wig and a smear of lipstick on a clenched fist, but he made Seeor Wences that rarest of performers, a genuinely funny ventriloquist.","train"
"115550","Framed this way, the story is dying.","train"
"129036","His  to find out more about Kathleen Willey's allegations of sexual harassment by Clinton.","train"
"94402","But nothing like this ever gets said.","train"
"14167","On various episodes he is a member, along with Bluebeard and the Grim Reaper, of the Jury of the Damned; he takes part in a snake-bludgeoning (in a scandal exposed by a Bob Woodward book); his enemies list is used for dastardly purposes; even his dog Checkers is said to be bound for hell.","dev"
"129224","Lamentably, she has lost sight of just how weird and out of the mainstream that culture is.","train"
"76718","They show Ellison exploring black folklore as a source for black fiction, using flight, for example, as a metaphor for escape--a common trope among slaves who imagined themselves able to fly back to Africa.","train"
"10260","As the century's greatest thinker, as an immigrant who fled from oppression to freedom, as a political idealist, he best embodies the century, says Time .","train"
"85136","Other candidates may be sexier at this hour, but once we go through the battering of New Hampshire and Iowa it might be a different story, says Connors.","train"
"31097","Ginsburg attempts to build sympathy for his client, though he refuses to discuss his client's account of events, specifics of her proffer, her legal strategy, her future plans, her definition of a sexual relationship, or anything else of interest.","train"
"53493","All that's missing is the steroids (out-of-control steroid use by the mob's young guns is what's killing the mafia as much as anything else).","train"
"109171","Deputy Attorney General Eric Holder, who suggested that the Justice Department, rather than a biased independent counsel, should investigate Baitgate.","train"
"104484","Which brings us to the third side of Rockefeller's personality and the main theme of the book, that of empire-building.","train"
"20659","What will eventually arise is a confrontation of her own availability for intimacy, which she never has to examine as long as these men are unavailable.","train"
