"promptID","premise","splits"
"47653","So given sufficient foresight, the prospect of a 1980 punishment hurts the 1950 owners, even if they sell in the interim.","train"
"97592","Although it hasn't dominated Seattle's skyline since the '80s, when the economic boom sprouted a host of taller buildings, it remains the city's symbol of progress.","train"
"67758","These notes were subpoenaed by special prosecutor Kenneth Starr on June 21, 1996.","train"
"21435","The two men have been joined forever in an intimacy deeper and more complex than that of blood or sex.","train"
"4524","I think neglecting to mention this shows that the Journal 's editorial page lacks intellectual integrity.","train"
"54512","When they married 20 years ago, the Globe reports, people said it wouldn't last.","train"
"49706","Moreover, after Gerth's article the White House released a series of documents detailing the decision.","train"
"69326","Click Friedrich Hayek ring to go ...","dev"
"132621","But there are several pharmacological and social differences that reduce the relevance of rat research to social policy.","train"
"91753","It takes a man to stand.","train"
"144308","Wandered all over the room and blew on some other guy's dice.","train"
"52013","Time identifies a new racial  bilingual education.","train"
"135479","As Aeschylus wrote of Zeus in Prometheus Bound , He cannot fly from Fate.","train"
"43230","Fried chicken, fried chicken, fried chicken.","train"
"39106","Imagine a law school class with 100 places.","train"
"54774","The milk proponents offer a variety of responses as to why osteoporosis is far less common in the nonmilk-drinking world.","train"
"100992","Better health care affects athletic ability directly.","train"
"34196","What makes Linux enthralling from a tech-head's point of view is that it is based on Unix standards that have been around for decades.","train"
"144960","And if there were, any elective late abortion--even by induction--would be wrong, though D and E and partial-birth abortion would seem especially cruel.","train"
"7511","(After all, when Wall Streeters say today that the Asia crisis is over, what they mean is that American exposure is over.","train"
"35356","The generation that still listens to rock 'n' roll will consider it their right to keep getting their rocks off.","dev"
"59600","1 is the easy-to-forget point that money shouldn't be able to buy influence with a democratic government.","train"
"46063","[W]e have a book worthy of its subject--graceful, astonishingly well researched, yet imbued with a sense of flow that is rarely achieved at this level of scholarship, says Daphne Merkin in the New York Times Book Review . (See Sarah Kerr's review in Slate.)","dev"
"61979","Time has fresh shots of an anguished Ethel and a plaintive Rory Kennedy.","train"
"142594","You were a former police officer, and yet you got caught setting up and dealing methamphetamine .","train"
"128574","To heed the better angels of your nature, you must know the devils first.","train"
"144876","the tester meows as he drops the vermin on the developer's doorstep.","train"
"19214","That would really deter the predators in the school corridors.","dev"
"144873","(Read the transcripts of the better CNN chats here . Look for the Allpolitics section toward the bottom of the page.)","train"
"36702","Could this anti-missile insurance policy reawaken a Cold War confrontation thought dead, lo, these past 10 years?","train"
"138510","There's more free stuff available online to fill up the time when the boss isn't around than the proxy-censor will ever let us read.","train"
"45272","Now Clinton risks reversing, at least partially, the actual, practical process that brought him the caseload declines he's crowing about today.","train"
"94012","She was alone at last with the president!","dev"
"120278","Nobody ever wanted to emulate this effect","train"
"134292","Do you know the saying, We're all grown-ups here?","train"
"121577",", and appeared here in 1977.","train"
"55808","Also, Time claims that for the past year, the FBI has been seeking Robert Jacques, a possible accomplice to Timothy McVeigh in the Oklahoma City bombing.","dev"
"128343","Bombing the crap out of Third World countries and aspirin factories when you need a quick pick-me-up at the polls.","train"
"47828","McCartney's album occasions re-evaluations of the most mainstream Beatle--turns out he's not the empty tunesmith he seemed in the '70s and '80s.","train"
"68828","Is it proper for attendants to wear black at a wedding?","train"
"1959","Charles Bakaly, Starr's new spokesman, gave his inaugural Sunday show appearance to Fox News Sunday , only to have interviewers Tony Snow and Brit Hume run the oldest play in the book on him.","train"
"27372","If the fast-food world had only three players, and McDonalds's proposed to buy out Burger King, how reassured would we be if they offered the palliative of selling a few franchises to Taco Bell?","train"
"63406","The principal and persuasive Democratic  The only new thing Starr said was that he has exonerated Clinton in Filegate and Travelgate.","train"
"80696","In Rome, La Repubblica reported from New York on the ambivalence of President Clinton's attitude toward Hollywood, pointing out that a few hours after accusing it of promoting violence and having direct responsibility for massacres in American schools, he had gone to dinner in Beverly Hills with film industry friends who had poured millions of dollars into Democratic Party coffers.","train"
"109778","The Pescis and Esther Williams won't come unless they get some!","train"
"119415","Scholes and Merton reportedly are applauded when they appear on the floor of the options exchange, which shows that options traders are at least appreciative, if not deserving, of the rare charities that they receive.","train"
"124844","Audiences literally boo avant-garde director Robert Wilson for his minimalist staging of Richard Wagner's classic opera, and most critics agree with the verdict.","train"
"104885","McCain : Theodore Roosevelt was my hero and is.","train"
"120850","Well, did her tune ever change.","train"
"80425","Just look at the entertainment industry's self-image instead.","dev"
"63379","Everybody says--every politician--[that] it's to your disadvantage not to answer it.","train"
"86869","Instead, McCain spends the evening attacking Bush.","train"
"106991","Or, better yet, Mr. Goldberg, you could watch!","train"
"103449","Maybe, just maybe, if he were sued again ...","train"
"113976","For ideological free-marketeers (like myself), theories like Smith and Wright's can be intellectually jarring.","dev"
"18991","People make two justified complaints about our Slate 60 ranking of America's largest contributors to charity.","dev"
"69414","I also know of one man who waited until Statistical Science agreed to publish the article before circumcising his son.","train"
"34197","While these varieties are generally incompatible with one another, all this code-writing has resulted in a far-flung community that understands the Unix beast.","train"
"110206","Two separate, exhaustive shots posted simultaneously?","dev"
"24212","But as Felix Frankfurter wrote in dissent, this distinction is silly.","train"
