"promptID","premise","splits"
"139444","It works by releasing hydrogen peroxide to break up or remove the color from organic materials but is gentle enough that it won't affect most fabric dyes.","train"
"140672","Despite their many similarities, Koreans and Japanese have long been mutually hostile and have pointed to the vast differences between their languages as proof that they lack a shared ancestry.","dev"
"41506","On Late Edition , Wolf Blitzer trots out Friday's CNN/Gallup/ USA Today poll indicating that if John McCain and Bill Bradley win some early primaries, Bush voters may switch to McCain, but Gore voters likely will not switch to Bradley.","train"
"121137","One week, you're the only one he can turn to when Newt shuts down the government; the next, you're bucking him up for Saddam.","train"
"24094","The executioner turns the power on and off, three times in all, and in between the jolts Tafero is moving, he's nodding, his chest rises and falls.","dev"
"69945","In this poem, he sees divine grandeur not simply in a trite vision of nature, but in nature as human nature affects it,  industrial images such as shaking metal foil or crushed oil embody the grandeur.","train"
"130479","ABC's problems, one suspects, will be much harder to solve, if only because they have much to do with network television as a whole and not just ABC in particular.","train"
"20857","We laugh and have great fun together and share many of the same interests.","train"
"135787","Believing a firm response was demanded, I've relegated such inapt answers to Page 2. (Click for some quite amusing if not entirely germane replies.)","train"
"104948","He telegraphs the ending--you know the Limey will somehow be at the root of his daughter's death--but it's still an emotional wow.","train"
"121533","It recounts the misdeeds of Phantomd, a teen-age cracker who infiltrated computers at nuclear-weapons labs, military bases, banks, dams, and major corporations before he was caught.","train"
"98751","But society awaits a popular novelist who is a writer in full--one with Wolfe's eye and a heart to go with it.","train"
"44944","The magazine profiles former anti-apartheid activist Mamphela Ramphele, who now heads the University of Cape  She has won admirers (and enemies) by insisting that the university not adjust its standards to favor black students.","train"
"127670",": The preceding images are not from Michelangelo and His  Drawings from Windsor Castle (online reproduction of art in the National Gallery exhibition is forbidden).","train"
"51058","Even his admirers admit he's dour and humorless.","train"
"115150","We hate them because they are smarter, or more studious, or more focused than we are.","dev"
"42712","If you're lying, shame on you.","train"
"63303","But Dowd must have had a little trouble making her word  she hits Nexis (aka Columnist Helper) pretty hard, filling out her wicked but simple point with quotes from Alexander Woolcott, P.G.","train"
"124600","The folks at HBO can make another claim to quality  their film of the hip-hop, black-owned Universoul Circus (Monday, 8 p.m.).","train"
"38558","The Commentariat Would Like a Nonsmoking Table,  Most polls agree that a quarter of the American adult population smokes regularly.","train"
"3139","Critics are as frantic about saving their novel these days as they were about killing it 40 years ago.","train"
"11350","One answer is to try to change the incentives of politicians, by making it more difficult for special interests to buy influence.","train"
"37662","Because the paper did not say that.","dev"
"59370","The Post reminds readers of what else she said (Hillary's words are in italics):","train"
"21241","A reporter from a major publication cornered me recently, and  Nathan, I only have a couple of minutes.","train"
