promptID,premise,splits
58342,The images in Touch of E v il have been boiled down so that all its ingredients are mashed together in the sludge.,train
43288,"As we know from the Oscars, it's the sanctimonious stuff that gets rewarded.",train
51147,Newsweek answers its own cover line with an optimistic yes.,train
140917,"Holly Brubach, who succeeded Fraser at The New Yorker , kept the standard high during her time there.",train
37806,"The end of the Cold War has freed them to pursue humanitarian  The United States now can be the world's policeman, so it should be.",train
119776,I invite you to compare Reich's account with reality by clicking .,train
6059,"Also, lack of winter freezes means that mites normally killed off by the cold will survive.",dev
62805,Newsweek excerpts a forthcoming biography of Tiger Woods.,train
106308,"Reducing very high tax rates can, at the very least, encourage less tax evasion and avoidance.",train
11227,I suggest a test to resolve the matter.,train
31985,How could an economist of Greenspan's sophistication fumble such important questions in such an unsophisticated manner?,train
103988,"While four other witnesses criticized the duplicity of pro-drug forces and the naivete of the voters, Romley bluntly identified the central choices facing law  go after doctors, federalize marijuana enforcement, go to court, and get a strategy.",train
142746, Maybe she would like the Pentagon.,train
119375,"As Vecsey puts it, women eschew the cynical fouls and flagrant flops of the men.",train
93193,Can a meeting with Al Gore (or at least Hillary Clinton) be far behind?,train
