"promptID","premise","splits"
"49172","These alone could have valuable uses.","dev"
"17515","Perhaps the 4% rate of the past 12 months is too high.","train"
"64504","People travel to weddings all the time.","train"
"34388","The terseness, the immense taciturn gravity, makes the note truly Chekhovian.","train"
"139789","Click for a list of them and another mix-and-match game.","train"
"119915","The key to understanding the sequence of events was that the safety board laboratory was able to correlate the exact timing on the cockpit voice recorder and the flight data recorder.","train"
"118342","Reciting Bradley's votes for the Reagan budget cuts, against welfare reform, and against the use force in the Persian Gulf, Gore asks, Would you vote differently on any of those three votes if you had it to do over again?","train"
"26945","As absurd as it may seem, she and Johnson sound like a couple of suitors (click to listen in on the courtship).","train"
"123633","I don't see any reason to postpone the vote.","train"
"73318","He  I'm going to keep this.","train"
"50231","The president lied to the entire country about this minister (a man of God!)","train"
"30221","I will practice The Look on old French ladies who are happy to have any old look at all, I say, and then, as I get the hang of it, move gradually into the big leagues.","dev"
"70070","That is ironic, of course, but the joke is not on the New Republic . It's on the conceit of fact checking in general.","train"
"145514","Critics protested that 1) the heroin look faded from fashion magazines months ago","train"
"95587","Elusive till the end, he was scheduled to lecture, two weeks later, on his life and work as a war photographer--with slides and patriotic music--at Carnegie Hall.","train"
"21763","Since obese men are less stigmatized, it may also explain why wealthier men are not that much less obese than poorer men.","dev"
"91294","The sexiness of children has lately been thoroughly acknowledged, which may be why their tasty little legs are now conventionally covered.","train"
"19163","Lenin did not come to Russia until April, in the sealed train across Germany.","train"
"120384","What I have lost.","train"
"52313","Vice President Gore is on the hot seat in the campaign-finance investigation . The Washington Post reported that some of the money Gore raised in phone calls from the White House went to the Clinton-Gore campaign (hard money) instead of the Democratic National Committee (soft money).","train"
"6465","no indignation, no passion for justice, only woe, woe, woe, as he felt himself falling,","train"
"43311","His viewing procedures are quite advanced.","train"
"16186","If you don't own your own tent, you will be able to lease one from the inn, but in that case, please bring your own mosquito netting, as many of the inn's tents are old and ripped, and the lake is famous for its KILLER Squites!","train"
"122105","Unfortunately, she's wrong.","train"
"80911","The deal reportedly adds $13 million to the $60 million Woods has already secured for similar contracts with Nike and Titleist.","train"
"80223","Collective bargaining will win doctors higher pay, resulting in higher costs for patients.","train"
"89742","In the New Republic , Jed Perl deflates the hype surrounding Robert Rauschenberg's Guggenheim retrospective.","dev"
"120875","I suppose it's a measure of how far we've come that IBM just issued a press release, though it would have been stirring to see CEO Lou Gerstner storm into the Exchange Tuesday to start buying up shares.","train"
"120554","The broker and the electronic cash service will pocket a dime of that.","train"
"59409","They could cover twice as many stories if they simply inserted yadda yadda yadda  into their reports.","train"
"34147","By forsaking their intellectual heritage just to spite Clinton, they have paid him the ultimate homage.","train"
"125851","Impeachment so haunts Gore that he has designed his entire campaign around neutralizing it.","train"
"145433","Sulloway contends that firstborn children are moralistic, eager to please their parents, and easily angered.","train"
"102379","You would, however, receive an affectionate reception if you were a domestic animal--sorry again, the term preferred by animal lovers is date.","train"
"110887","Who knew that fellow citizens--even the scummy ones--endured such horrors?","train"
"65134","Critics agree with the premise of this get-tough-on-China polemic but think the authors, two former Beijing bureau chiefs, go overboard with the Cold War rhetoric.","train"
"83611","It builds enormously expensive plants that employ blue-collar workers, even if they are wearing bunny suits.","train"
"108274","In still other cases, the company might guarantee that the executive will receive big bonuses in future years, poor profits notwithstanding.","train"
"130147","But, 33 years after he gave Barbra Streisand People, she's still singing it.","train"
"7880","Rep. Charles Rangel, D-N.Y.: I would say that if you had members of the KKK, that were not directly tied to the murder--that they did not do the murder--that 90 years [in jail] would be excessive.","dev"
"34389","In 1897 he was in Moscow, staying at the Great Moscow Hotel, when he began to cough blood profusely.","train"
"145864","Providing escape routes from the inner city may make the ghettos worse by depriving them of their most competent residents.","train"
"13753","Nor does Soccer Guy seem like an appellation that's likely to go down in the annals of crime alongside Sammy the Bull--or even Paulie Walnuts, that hit man on the Sopranos.","train"
"19051","They post loads of newspaper articles--Yahoo!","dev"
"128574","To heed the better angels of your nature, you must know the devils first.","train"
"124811","And who should decide?","dev"
"140474","The Internet may soon be less of a bargain . It is clogging as more and more Net heads use packet-intensive, real-time applications such as Internet telephony and RealAudio.","train"
"69636","But Foster's expertise is historical, and he warns us that he will write as a historian.","train"
"21921","He carried on affairs with several men and a mistress, who bore him a son he refused to lift a finger to support.","train"
"59009","Some critics describe the top-rated drama's live broadcast as a welcome throwback to 1950s television.","train"
"24136","After the dive, Greenspan was universally lauded for putting a happy face on the market in congressional testimony.","dev"
"101757","It's true that, as he says, We're electing someone to run the government, not minister to the condition of our souls.","train"
"114482","Researchers are performing placebo-controlled surgical trials in which they cut patients open and sew them back up without doing anything.","train"
"87993","Under the overmechanical assumptions of affirmative-action opponents themselves (and putting aside the racial IQ theories of Murray and some others), blacks would move up the list, and whites would move down.","dev"
"47717","This, of course, was the time of Clinton's impeachment and Senate trial.","train"
"15862","Does his behavior add up to grounds for removal from office?","train"
"3100","Schumer is clean.","train"
"110086","I will involve them in after-school programs, maternity group homes, prison fellowships, and drug treatment programs.","train"
"54458","This one ended up being surprisingly easy!","dev"
"17342","A cover story tracks the gestation of Paul Simon's The Capeman , a Broadway musical opening in January.","train"
"134706","The sacred is not mysterious to her.","dev"
"34512","Or to put it another way, voting to recommend impeachment in our advanced democracy was that noted historian and constitutional scholar Mary Bono.","train"
"108880","Susan Muska and Greta Olafsdottir, who made the 1998 documentary The Brandon Teena Story , say Lana was adamant that she wasn't there.","train"
"50078","Whatever else may be said about them, both Talmudic and Jesuitical carry connotations of great learning and meticulous attention to argument.","train"
"31478","If the stock market crashes, the calls for privatization will simmer down, say Shields, Steve Roberts, and George Stephanopoulos ( This Week ). Everyone praises Bill Clinton for his role in Issue 3--the breakthrough agreement in Ireland.","train"
"104657","To them, the women represent the danger and disorder that must be expunged if the town is to survive.","train"
"107034","No matter how hard I try, I feel that I say the wrong thing or something inappropriate.","train"
"18839","Is Lee Harvey Oswald in his grave or in Russia?","train"
"87959","Tract housing and apartment buildings may be ugly, but they are paradise compared with village huts or urban shanties.","train"
"48661","But best of all, there's Angela.","train"
"24732","These were 24-carat golden oldies.","train"
"51566","This season's hot new gesture?","train"
"117487","3)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?","dev"
"106004","Readers are of course invited to submit their candidates to the Rock Pomposity Sweepstakes at culturebox@slate.com.","train"
"85814","and cannot accept the principle of external interference in a state's affairs whatever regime it may have, especially when that intervention lacks any international cover or consensus.","train"
"101043","It's left vague just when Bergman decided that Wigand was important not for what he might say about that report but about the industry as a whole.","train"
"75319","In fact, there is no dominant style to contemporary consumerism.","train"
"82827","Russian soldiers will shell Grozny to its foundations and fly their flags, but they won't engage in street-to-street  It's too bloody.","train"
"101663","It sparked a vigorous debate about morality, introduced role models who defied stereotypes (powerful attorneys in wheelchairs, patrician female lawmakers), and demonstrated that the political process is sturdy and forgiving.","train"
"134275","Transformers, Turtles, and Rangers were largely confined to action figures and television.","train"
"144549","When we encounter the young woman again, she has taken a job as the live-in domestic at a huge and crumbling Roman townhouse belonging to an English loner named Jason Kinsky (David Thewlis).","dev"
"137976","Randy's Full Responsibility Wraparound","train"
"48916","I agree that there is nothing like going to a bookstore on a cold winter morning, but there is also nothing like discovering an interesting new author while sitting in your home in your robe, sipping a cup of coffee.","train"
"2926","It's pretty hard to keep feces out of meat.","train"
"89541","(To restore Internet Explorer, you'll need to have it on your original Windows 95 CD-ROM or another disk.","train"
"115742","This breakdown of PA-Israeli cooperation is the basis for the Israeli complaint that Arafat is culpable for last week's Jerusalem bombing.","dev"
"67139","He will be thrilled to know that a New York lawyer, by the name of Richard Fishbein, has sued an eatery (Angelo &amp; Maxie's) for $7 million for holding him hostage when he refused to pay the 18 percent service charge added to his bill.","train"
"48455","The troopers have yet to recant their charges that they had arranged and concealed Clinton's sexual adventures on public time.","train"
