"promptID","premise","splits"
"43071","Early diagnosis, new teaching techniques (emphasis on the arts, thematic programs), and new research into the brains of LD kids are starting to rectify a neglected problem.","train"
"142089","But it must have a real bite so your mouth feels clean.","dev"
"4974","Slate's Ann Hulbert says Hochschild overstates her  The truth is that home hasn't suddenly become work.","train"
"14650","Guess  The argument may be as dumb as it sounds.","dev"
"58276","In theory, mandatory insurance could make life better for everyone , including those who currently prefer to be uninsured.","train"
"24656","Under Deng Xiaoping, Beijing actively sought to cultivate a good bilateral relationship.","dev"
"81473","All past articles, features, and columns remain available in The Compost.","train"
"11971","In a six-year study, scientists fed dogs and other animals irradiated chicken and found no evidence of increased cancer or other toxic effects.","dev"
"135511","But bizarrely, 1.7 million of those votes were for Kemal Ataterk.","train"
"20452","As long as there are still U.S. workers paying payroll taxes (and if there aren't, we'll have many far bigger problems), these can cover at least partial benefits.","train"
"119823","As a card-carrying new medium ourselves, we sure as heck do.","train"
"9093","They were pitiful even by microbial standards.","train"
"53013","The machines, in comparison, seem fuzzy.","train"
"42171","There would still be an Ahab syndrome.","train"
"71502","One unanswered question is how much time Clinton will spend in his home state once his library is completed.","train"
"62466","The British company that recently won fame for cloning a sheep is reportedly on the verge of deriving human blood plasma from sheep and cows.","train"
"31166","As Buchanan put it, the boys in the War Room had won a little victory today over this little girl who is going to be denied justice.","train"
"62866","Teen films no longer glorify drug use, but other than that, very little.","train"
"56789","None associated the pig with its traditional attributes, dirty or foul smelling.","train"
"81062","The news that I am laying waste to an entire generation of men exceeds my greatest ambition in this regard.","train"
"101019","It's OK, Leo Strauss Was a Devoted  Someone should slip Kenneth Starr a tape of this week's This Week , where Kristol admits to being eliminated from the office NCAA pool.","train"
"61820","In response to one of the proposed symptoms, Spitzer's wife protested, I do that sometimes, and Spitzer responded, OK, take it out.","train"
"38674","Clinton doesn't allow alcohol in the Oval Office because it might interfere with his potency.","train"
"136056","Buchanan even uses the word deterrence, though he doesn't use Mutually Assured Destruction, Bakelite, or hula hoop.","train"
"14185","Hoiles is a big slab of a man, now 33, a veteran but not a star.","train"
"84428","Few people these days believe that evil spirits cause illness, that the rain god causes rain, or that electric-light bulbs are mystical.","train"
"110888","Eleven billion dollars in shareholder value is $11 billion.","train"
"12893","That said, I am now officially Hillary'd out.","train"
"117484","Let's pause for a moment to map the nuances of that pitch.","train"
"21212","Some predict the jokes will wear thin soon, while others call it definitively depraved (Tom Shales, the Washington Post ). (Download a clip from South Park here.)","dev"
"50140","Sixty-eight percent favor a federal law to prevent job discrimination against gays and lesbians.","train"
"16156","Finally, the tabs have been wallowing recently in the misery of people you can't remember or never heard of.","dev"
